doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;28.03.24 06:00;It's a big day for more than 165,000 New York City marathon hopefuls as they wait to hear if their application for this year's race has been successful! 🗽 <br><br>Will we be seeing you in Central Park in November? 🤞 #NYCMarathon;;image showing …;152;27;14;Abbott WMMajors;WMMajors;Your World. Run It.;https://pbs.twimg.com/profile_images/1433066652820807680/pNm4FhMM_400x400.png;42900;0;0;;A;1
1;28.03.24 17:24;Anyone else anxiously checking their NYRR and bank accounts to see if they got in the @nycmarathon? Awaiting my 9th straight lottery rejection but somehow deluding myself THIS is the year. #NYCMarathon;;image showing …;33;1;5;Dr. Jaclyn Cravens Pickens 🌵;JackiePhDinlove;Associate Professor at Texas Tech University, Couple & Family Therapy, Technology & Relationship Researcher, Marathon Runner, Sports Enthusiast, TTU & ECU Alum;https://pbs.twimg.com/profile_images/1722377242708156416/KKVeHPsn_400x400.jpg;1096;0;0;;A;2
2;28.03.24 08:20;Not a good day for me to be talking about running shoes.  #nycmarathon #tcsnycmarathon;;image showing …;4;1;0;Daniel Barchi;DanielJBarchi;CIO at CommonSpirit Health | Digital leader focused on frictionless care and quality patient outcomes | US Navy |  New York City | Runner;;2748;0;0;;A;3
3;28.03.24 10:26;Hey @nyrr, maybe try a different pic for your rejection email than a guy pointing and laughing at us. Just sayin'.  #NYCMarathon #IHateNick;https://pbs.twimg.com/media/GJyZ57OWkAAbm_F?format=jpg&name=large;image showing …;3;1;0;Ryan Lefler;TheRyanLefler;Just a guy with an unhealthy obsession for Boston Sports, Running and Disney. Assistant Field Superintendent for the Worcester Red Sox.;https://pbs.twimg.com/profile_images/1482559570568437764/qSmwJLBk_400x400.jpg;509;0;0;;A;4
4;28.03.24 09:29;I’m in! Can’t even begin to describe how excited I am! Can’t wait to head to the Big Apple in November. #NYCMarathon;;image showing …;3;0;1;Zak 🇺🇸;ZakMeents;;https://pbs.twimg.com/profile_images/1720679937336606720/MMghAKwM_400x400.jpg;173;0;0;;A;10
5;28.03.24 09:29;I hope @nycmarathon picks me today.  Hitting refresh every 30 seconds!<br><br><br>#nycmarathon #marathon #uesrunclub #running;;image showing …;3;0;0;Off The Cover;OffTheCoverYT;Wanting to change cinema for the better. All Hail the Fellowship!  Join me dear viewer!;https://pbs.twimg.com/profile_images/1565723687856267268/4yhEnFw2_400x400.jpg;32;0;0;;A;6
6;29.03.24 19:52;I may not have gotten into the NYC Marathon via the lottery, but I am honored to announce that I am running with Book Fairies to help childhood literacy. Any donation helps. Thank you! #nyrr #nycmarathon;;image showing …;0;0;0;Alexis (Taylor’s Version);lexis8685;Member of #thetorturedpoetsdepartment Lawyer by day (and night). Manifesting a TN notice. 🕯️#seniorswifties;https://pbs.twimg.com/profile_images/1754349125758304256/Z8gk1LCM_400x400.jpg;186;0;0;;A;7
7;28.03.24 16:36;The NORD #Running4Rare team is back for a 9th season as an Official Charity Partner in the 2024 #TCSNYCMarathon!<br><br>Spots fill quickly. Apply today to run this iconic race with one of the best teams on the course + fundraise for #RareDiseases! https://nycmarathon.org<br><br>#NYCMarathon;https://pbs.twimg.com/media/GJxJy49XUAEfYLP?format=jpg&name=large;image showing …;8;3;0;NORD;RareDiseases;National Organization for Rare Disorders (#NORD) is the voice of the #RareDisease community. Official US sponsor of #RareDiseaseDay.;https://pbs.twimg.com/profile_images/1487095722705133573/Vb3Oo2MX_400x400.jpg;40800;0;0;;A;8
8;24.03.24 16:00;Have a break, have a KitKat®! 🍫;;image showing …;110;21;11;KITKAT;KITKAT;A tasty treat with your tweet! 🍫 #HaveABreak;https://pbs.twimg.com/profile_images/1578295128409743360/HWPqt1hy_400x400.jpg;491900;0;1;;A;5
9;29.03.24 13:52;N🏃‍♂️Y🗽C🏅 #nycmarathon #letsgo;;image showing …;1;0;0;Drew G;Grizzly14;You look familiar, you must get that a lot;https://pbs.twimg.com/profile_images/1226664165277827074/3kScvK89_400x400.jpg;51;0;0;;A;9
