doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence
0;03.04.24 14:01;LSU-Iowa's epic Elite Eight showdown was watched by 12.3 million viewers, according to @ESPN, making it the most-watched women’s college basketball game ever. #MarchMadness 🏀;;image showing …;4;1;0;Good Morning America;GMA;"Put some GOOD in your morning! Watch 
@GMA
 at 7am and around the clock at http://GoodMorningAmerica.com";https://pbs.twimg.com/profile_images/1605269435501125660/_t4Nk582_400x400.jpg;3700000;0;0;;control;1
1;02.04.24 10:06;Wait a minute, these teams going STRAIGHT to Cleveland from the regional sites? They’re not going home to pack a new pair of undergarments?? 😭😭 #NCAAMarchMadness #MarchMadness;https://media.giphy.com/media/v1.Y2lkPTc5MGI3NjExYjRrN3psN3U1Mnp1M2ZydWhkM3AxZnQweGQxcGJpcmoxd2ZocHgxNCZlcD12MV9pbnRlcm5hbF9naWZfYnlfaWQmY3Q9Zw/hOYYzRURI4ERa/giphy.gif;image showing …;134;3;15;Jayeee;Ooh_Im_Fanceyy;Ask me what you wanna know 🤷🏽‍♂️;https://pbs.twimg.com/profile_images/1436302686077472769/k6et5Sd6_400x400.jpg;13200;0;0;;control;2
2;02.04.24 18:53;"I was rooting for LSU to win it all, however it’s important for coaches/parents to teach athletes how to win and how to lose. Stay humble and hungry. <br><br>
Did LSU lose their hunger to win? #LSUvsIowa #MarchMadness";;image showing …;99;26;56;Rev. Damien Jones;NobleNegroe;🇺🇸 Keynote Speaker | Podcaster | Republican Strategist | Military vet | Sports & Political Analyst ;https://pbs.twimg.com/profile_images/1734259170017239040/h-r1ID_k_400x400.jpg;4320;0;0;;control;3
3;31.03.24 15:04;"I FOUND A MARCH MADNESS LOCK 🤫
<br><br>
B2B BANKROLL DUMP PLAY 💰
<br><br>
❤️ FOR PLAY <br><br>
#MarchMadness";https://pbs.twimg.com/media/GKAD50VbEAAjExn?format=jpg&name=medium;image showing …;253;9;9;DREAMS BETS 🔮;DreamsBets;#1 Sports Consultant | Turned $200 to $47,000 in 1 month | +212 Units NBA Props YTD | Read Lines , Bet Smarter 🧠;https://pbs.twimg.com/profile_images/1666567406540689408/5rMS5HrD_400x400.jpg;13100;0;0;;control;4
4;31.03.24 15:42;"""I'm a professional cutting-net guy. If you need to cut a net, call me."" - Hassan Diarra, 2024 😂<br><br>
Possibly my favorite quote from the UConn locker room last night. <br>
@hassan_diarra11 <br>
 
#MarchMadness #UConn";;image showing …;1100;137;6;Jonah Karp;JonahKarpTV;"Sports Director, Anchor 
@FOX61News
 | Billy Joel Fan";https://pbs.twimg.com/profile_images/1773187842555977728/mCylSSqo_400x400.jpg;1137;0;0;;control;5
5;02.04.24 15:02;Have a break, have a KitKat®! 🍫;;image showing …;110;21;11;KITKAT;KITKAT;A tasty treat with your tweet! 🍫 #HaveABreak;https://pbs.twimg.com/profile_images/1578295128409743360/HWPqt1hy_400x400.jpg;491900;0;1;https://shop.hersheys.com/our-brands/kit-kat%C2%AE/;control;6
6;02.04.24 16:53;"“She’s the best teammate I’ve ever had.”<br><br>
I don’t think people realize how special the relationship is between Caitlin Clark and Kate Martin. This Iowa team doesn’t win without Kate. <br>  #IOWAvsLSU #hawkeyes #marchmadness";;image showing …;2100;77;6;Kylen Mills;KylenMills;"Sports Broadcaster, 
@bigtennetwork
 
@PAC12Network
 
@nwsl, ACC on the CW & more | washed up college ⚽️ player | Chicago native | pizza aficionado";https://pbs.twimg.com/profile_images/1752894639915274240/qj4npWze_400x400.jpg;16700;0;0;;control;7
7;02.04.24 18:18;"BELIEVE.
<br><br>
#MarchMadness x 
@IowaWBB";;image showing …;11000;832;41;NCAA March Madness;MarchMadnessWBB;The official account of NCAA DI Women’s Basketball! Join us with #NCAAWBB | #MarchMadness and #WFinalFour;https://pbs.twimg.com/profile_images/1770245091820486656/ksgg9zTE_400x400.jpg;672800;0;0;;control;8
8;02.04.24 12:25;"Love 
@caitlinclark22
 but gotta go with my 
@LSUwbkb
 tonight! #GeauxTigers #MarchMadness";https://pbs.twimg.com/media/GKHN4GwWAAE6iTh?format=jpg&name=large;image showing …;2800;337;117;Tim McGraw;TheTimMcGraw;Get your tickets for the #StandingRoomOnly Tour '24!;https://pbs.twimg.com/profile_images/1726837592186843136/-LqgR9pM_400x400.jpg;3000000;0;0;;control;9
9;01.04.24 15:25;"WE'RE ALL SET FOR PHOENIX 🍿

#MarchMadness";https://pbs.twimg.com/media/GKCZNFbWAAARxy_?format=jpg&name=large;image showing …;6100;858;68;NCAA March Madness;MarchMadnessWBB;The official account of NCAA DI Women’s Basketball! Join us with #NCAAWBB | #MarchMadness and #WFinalFour;https://pbs.twimg.com/profile_images/1770245091820486656/ksgg9zTE_400x400.jpg;672800;0;0;;control;10
